Sigma_gas,Sigma_star,H_star,Omega,qshear
16.53567314166119,199.8525331814906,570.3134549372622,19.46565864373532,0.8189987731996476
22.617506791596195,46.383166862232564,196.61277686723005,35.5122600624763,1.0781176372641526
29.45029443794272,120.72523786018328,452.1014648818549,28.35120572556383,0.9532737961290288
10.941304468128113,77.63116481925222,340.0557256856264,46.432235596559295,0.5178805472467167
13.029889785520467,140.60144257288772,292.61537691821565,85.07540594763036,0.768951671858478
40.603562812345295,66.71722399364242,795.7983865188249,29.810687961271874,0.9576885762834252
19.227647794406742,270.7275947657786,366.6650516536132,39.94127992368165,1.1083731026080579
14.238820739401874,33.63631492182324,485.65806528747936,24.350443630356153,0.8873629394181713
14.473343691648191,105.97175528150282,396.37810655874347,32.12695479651898,1.0325191601585855
19.619554138754356,86.0070390925082,516.0124212597907,60.15263089801252,0.8531524402515429
33.12845761648445,179.8701715794453,267.0905913937937,23.923075067963957,0.6695283012108613
11.590882159382405,52.14540269760553,664.2535200698361,40.74862561263205,0.9259073063501785
8.757142041028958,338.8168440937209,423.2274110623242,34.89801440213836,0.9877150309792264
26.142207938845623,27.835459315889405,310.5113835130033,20.165133812597848,0.7083921830181963
23.194622609697195,158.87985590653645,613.4284258481919,54.463947691940184,0.8576371131094634
16.79470399587645,58.62691618292959,236.7034539425454,26.23838148777268,1.2190963637665604
17.730136812027776,148.88291968896124,538.3781845319754,37.614863080535194,0.4532160087204356
24.874206666839065,61.55372125848893,407.3313195400116,25.515072357511976,0.9353222977266392
26.912141992324244,818.7916015200477,618.4980033463497,75.49802141695683,1.064947281302705
9.26500687115759,13.413860687033662,262.96100154486436,30.195593667377654,0.794101914292854
11.809219561156652,184.9502231017603,319.57389784586377,27.769303499308187,0.9066023231311527
34.57482257901186,51.47996329414095,445.65807100379703,47.26259200281109,1.1236269550964502
20.896972368915574,97.43506347283414,231.68441559201116,12.899598390941454,0.9785287437567575
15.288467009892491,92.89724788099947,580.6627253244673,37.19446518096075,0.7778102588495379
13.492233789100373,283.6278259465391,169.83703382975412,51.932241934846374,0.9086912201300106
18.088485441980104,32.85604085749192,548.1847335228953,26.510959484638505,0.6431833015750409
37.91221898332041,128.5774831922952,346.3838319842624,33.02301279364702,0.8317444931791549
12.809843082278814,72.53479912004144,477.0214293340042,21.70765131388915,1.0227291044583582
10.66560704195995,114.04072356493384,687.2772070678528,22.502310690050606,1.26164786049594
28.51242734197451,80.9666649846132,285.7926374566276,43.33304268925756,0.8784687636796595
21.166826186626906,240.23112953433122,509.2321206303506,31.57303356259353,0.7229741355307021
15.6742436940858,38.6978149063244,373.4471202820371,62.615530904987146,1.0104072944331588
