Sigma_gas,Sigma_star,H_star,Omega,qshear,suffix
9.793289658057589,18.33965457162708,822.4143730046686,161.92151983398338,0.9861213488306912,row0032
16.328333540515626,296.6460941418931,270.4072791520294,11.916015876595905,0.8469318817463198,row0033
13.119858349285321,57.031327968917864,575.3624396322142,40.55291849383235,0.5451443023137177,row0034
5.223098262808506,85.31135133125535,183.64223007723754,23.31549239949268,1.3308525195046832,row0035
8.519793016173722,51.014060442532994,331.5568839112201,28.828030702742236,1.027996601691536,row0036
14.098550865173161,97.41568585062619,922.1149759869655,32.38897307584205,0.750508790168234,row0037
22.958608043153628,34.813238435391895,174.94243354774306,16.953855945956064,0.8608913682483734,row0038
10.411495695396864,140.82733217218464,485.14385575594156,67.67849884544137,0.9447895437772245,row0039
11.290434053801407,69.39636282018951,90.47053126251348,31.822575002869147,0.7924980449276375,row0040
18.789240217056136,70.6293479630104,453.2251339891912,24.12454847862473,0.9984114250955605,row0041
15.272022406319163,22.37634315422289,354.36069142326016,48.40587008002361,1.1276448438121645,row0042
7.514397186545286,231.6508220713885,1966.9797158110405,16.831472333072146,0.6268298531312673,row0043
6.396829669233103,32.183210392685076,607.6221132506057,11.753498937533495,0.7310595129244297,row0044
12.484951300541217,159.15770327419298,226.90576153286298,76.33057385435671,1.1001743163942326,row0045
17.3341083540933,40.345796507126515,684.5942711085355,19.445956810279895,0.9272161239546781,row0046
9.229119826574978,120.41245643198972,254.48516156444964,39.67929242729259,0.9004868732283873,row0047
9.66787116225589,46.618358941505484,401.92086110477163,18.081977812697712,1.1801836433733728,row0048
16.717359538737874,106.71549421340139,144.7753975298885,59.20788086525024,0.1961357300587625,row0049
12.06233018069865,29.16516540615977,1072.05932177314,27.261006185363808,0.8222312536491331,row0050
6.849026300749152,169.5664060662207,387.59455044928137,34.17431531640553,0.9656000347996323,row0051
7.877947859267812,25.128679114617874,221.9801795552164,43.754231327287194,0.9504449083471621,row0052
14.746769420806924,206.4216756111974,629.3324326495239,22.09230473343511,0.8692388025837605,row0053
17.963469351629293,61.87338233814372,248.4003204541859,110.17928522259261,0.7597176310906902,row0054
11.727468154751893,78.64596527125421,711.3095723674239,13.458720168198766,1.0384289442887815,row0055
10.787977270182113,39.20562153088629,297.89377432795555,20.51947069208028,0.6472361899925811,row0056
20.837451106095422,128.03793359971533,753.2677782544861,37.48633714380774,1.1479809182100944,row0057
13.564190137162301,49.64413709224702,207.32725146826454,9.904131293673352,1.0055176437052336,row0058
8.876987396755736,97.70348564655097,528.0597712962426,88.7332347321465,0.8020607671193227,row0059
5.995147505513505,58.069952599322995,955.7495060131891,52.64571678535651,0.8786765897130483,row0060
12.634193496713271,84.52785576811823,317.5728255914046,15.767739316429225,0.9073242019424472,row0061
15.843079203663766,10.273429327550984,495.9963511123694,30.44832820314921,1.0624963551610118,row0062
10.159512284219646,490.89492444642354,164.82435576230648,25.372313129755504,0.6879761370373046,row0063
